a 啊 唉 哎
aa 阿 啊 吖 嗄 腌 锕
aaaa 啊啊 啊啊啊
aaba 阿爸
kxyt 跨越 夸说 看小说
kxz 跨
kxzc 开小灶
kxze 可选择
kxzj 夸赞
kxzk 跨
kxzl 开小灶了
ky 困 坤 昆 捆 悃 阃 琨 锟 醌 鲲 髡 堃 壸 婫 崑 焜 裈 鹍
kya 鲲 髡
kyab 鲲
kyaw 髡
kyb 看一遍
kybh 捆绑
kybk 看也不看
kybm 看一遍
kybq 可遇不可求
kybu 快一步 昆布
kyd 快一点
kyda 可以打
kydc 库页岛
kydh 可以的话
kydm 快一点
kydr 宽以待人
kydy 困顿
kye 崑
kyeb 崑
kyee 困厄
kyf 捆 堃
kyfa 困乏
kyfh 可以放
kyfm 捆
kyft 堃
kyfu 捆缚
kygt 啃硬骨头
kygy 可以攻玉
kyh 焜
kyhb 焜
kyho 困惑
kyhr 可以换
kyhx 抗氧化
kyi 开夜车
kyie 开夜车
kyii 可以吃
kyis 昆虫
kyj 锟
kyjb 锟
kyjd 宽衣解带
kyji 括约肌
kyjk 困境
kyjl 开源节流
kyjp 会员价
kyjr 困倦
kyjs 困窘
kyjt 困觉
kyju 困局 昆剧
kyjx 开一家
kyk 看一看 困
kykj 看一看
kykm 困
kyku 困苦
kykw 可有可无
kyl 可以了
kyle 困了
kyln 困了
kyly 昆仑
kym 可以吗 阃
kyma 可以吗
kymb 柯以敏
kymd 可以买
kymk 昆明 会员名
kymm 阃
kymu 宽银幕
kyn 困难 婫
kyna 可以拿
kynb 婫
kynj 困难
kyo 昆 鹍
kyob 昆
kyon 鹍
kyp 鲲鹏 裈
kypg 鲲鹏
kypi 裈
kyqi 扩音器
kyql 昆腔
kyqu 昆曲
kyqx 会员卡
kyr 困扰
kyrc 困扰
kyrf 困人
kyrs 可与人言无二三
kysi 困死
kyt 坤
kytg 昆腾
kytk 会议厅
kytu 坤
kyu 壸
kyug 看医生
kyui 跨越式 会议室
kyuj 昆山
kyuy 壸
kyuz 困守 困兽
kyv 困住
kyve 捆着
kyvj 客运站
kyvs 昆仲
kyvu 困住 捆住
kyw 琨
kywb 琨
kywp 口说无凭
kyww 康有为
kyx 看一下 悃
kyxd 宽衣解带
kyxk 抗药性 可用性
kyxm 悃
kyxp 快一些
kyxx 看一下
kyy 醌
kyyb 醌
kyyj 看一眼
kyys 可以用
kyyt 可以说
kyyu 困于 可用于
kyyx 溃于蚁穴
kyz 看样子
kyza 捆扎
kyzd 困在
kyzi 看样子
kz 口 抠 扣 寇 芤 蔻 叩 眍 筘 竘
kzan 口岸
kzb 寇
kzbd 叩拜
kzbw 口碑
kzby 寇
kzc 蔻 芤
kzcd 口才
kzck 芤
kzcv 芤
kzcy 蔻
kzd 口袋
kzdd 口袋
kzdj 蔻丹
kzdn 扣掉
kzds 扣动
kzer 口耳
kzf 扣 抠
kzfa 扣发
kzff 扣分
kzfg 口风
kzfk 扣
kzfu 口服 口腹 口福
kzfw 扣费
kzfx 抠
kzg 口感
kzgj 口感 口干
kzgl 扣光
kzgs 口供
kzh 口号
kzhc 口号
kzhs 口红
kzhv 口惠
kzhx 扣划
kzi 扣除
kzig 口称
kzii 口吃
kzil 口疮
kzir 口传
kziu 扣除
kziy 口唇
kziz 口臭
kzj 扣缴
kzjb 扣紧
kzji 口技 叩击
kzjk 口径
kzjm 扣减 叩见 扣件
kzjn 口角 口交
kzjt 口诀 口角
kzk 叩
kzkd 叩开
kzke 口渴 叩
kzkk 口快
kzkr 扣款
kzkz 口口 扣扣
kzl 竘 口
kzla 口
kzli 口里
kzlj 扣篮
kzlk 口令 竘
kzll 口粮
kzlq 扣留
kzls 克孜勒苏
kzm 抠门
kzmf 抠门 叩门
kzmo 口沫
kzmy 开宗明义
kznw 口内
kzo 眍
kzox 眍
kzq 口气
kzqb 口琴
kzqi 口气
kzqk 口轻
kzql 口腔
kzqm 扣钱
kzqq 扣球
kzqu 扣去
kzrz 扣肉
kzsr 口算
kzt 口头
kztn 口条
kztu 抠图
kztz 口头 叩头
kzu 扣税
kzua 扣杀
kzuc 口哨
kzue 口舌
kzuh 扣上
kzui 口试 口实
kzuu 口述
kzuv 口水 扣税
kzuz 口授 叩首
kzv 筘
kzvc 口罩
kzvf 叩诊 口镇
kzvk 筘
kzvo 口拙 扣缴
kzvs 口中
kzvu 扣住
kzw 口味
kzwd 口外
kzwf 口吻
kzwu 口误
kzww 口味
kzx 口信
kzxb 口信
kzxk 口型 口形
kzxl 叩响
kzxp 叩谢
kzxq 口臭
kzxx 扣下
kzy 看走眼
kzya 扣押 扣压
kzyb 口音
kzyi 口译
kzyj 看走眼 扣眼
kzyl 看在眼里
kzyu 口语 口谕
kzzi 扣子 口子
l 了 立
la 拉 垃 喇 蜡 腊 辣 啦 落 剌 邋 旯 砬 瘌 蝲 镴 鞡
lab 瘌
laba 喇叭 拉巴
labd 瘌
labi 蜡笔
lac 落
lack 落
lad 拉倒
ladc 拉倒 拉到
ladd 拉大
ladg 拉登
ladi 辣的
ladk 拉丁
lads 拉动
ladw 拉得
laf 拉风 拉
lafg 拉风
lafl 拉
lag 鞡
lagc 拉高
lagj 拉杆
lagl 鞡
lago 拉过
lagz 拉钩
lah 拉回
lahc 柳暗花明又一村
lahl 蜡黄
lahm 柳暗花明
lahr 拉环
lahv 拉回
lahw 拉黑
lai 蜡 蝲
laid 蝲
laie 拉扯
laih 拉长
laio 蜡
laiu 拉出
laj 镴
lajb 拉近 拉进 拉紧
laji 垃圾
lajl 辣酱
lajn 辣椒
laju 拉锯 蜡炬 拉车
lajv 镴
lajx 拉架
lak 啦 喇
lakd 拉开 喇
lake 拉客
lakh 拉康
lakl 啦
lal 辣
lala 啦啦 拉拉
lald 拉来
lali 拉力
lalm 拉链 拉练
lals 拉拢
lalu 辣
lam 喇嘛
lama 喇嘛
lamm 拉面
lamu 拉姆
lamw 辣妹 拉美
lao 腊 旯
laoj 旯
laoo 腊
lap 拉票
lapi 拉皮
lapk 拉平
lapn 拉票
laqi 拉起
laqu 拉去
larf 蜡人 拉人
larj 蜡染
larz 腊肉
las 拉萨
lasa 拉萨
lasi 拉斯 拉丝
laso 拉锁
lasv 拉尿
lat 垃
lata 邋遢
latd 拉抬 蜡台
latl 垃
lau 剌 砬
laud 剌
lauf 拉伸
laug 拉升
lauh 拉上
laui 拉屎
laul 砬
lauz 拉手 辣手
lav 拉着
lava 拉闸
lave 拉着
lavh 拉长
lavi 蜡质 蜡纸 拉直
lavo 拉着
lavu 蜡烛 拉住
law 辣味
lawh 拉网
lawj 蜡丸
laww 辣味
lax 落下
laxi 拉稀
laxl 蜡像 拉响
laxx 落下 拉下
layt 腊月
layz 蜡油
laz 邋
laza 拉杂
lazi 辣子
lazv 邋
lazz 拉走
lb 林 琳 磷 霖 临 邻 鳞 淋 凛 赁 吝 拎 蔺 啉 嶙 廪 懔 遴 檩 辚 膦 瞵 粼 躏 麟 冧 潾 璘 箖 粦 翷
lba 鳞
lbal 鳞
lban 临安
lbb 冷冰冰 冧
lbba 淋巴 萝卜白菜，各有所爱
lbbc 拎包
lbbf 老版本
lbbh 邻邦
lbbk 狼狈不堪 淋病 李冰冰 冷冰冰
lbbm 林边 冧
lbbn 林彪
lbbp 临别
lbc 蔺
lbcf 蔺
lbch 临沧
lbcx 力不从心
lbd 淋 凛 潾
lbda 琳达
lbdc 临到
lbde 了不得
lbdi 林地
lbdj 联邦调查局 林丹
lbdk 冷不丁
lbdl 潾 连本带利
lbdm 淋
lbdw 了不得 来不得
lbdx 凛
lbe 嶙
lbel 嶙
lber 老伴儿 礼拜二
lbf 拎
lbff 两部分 临汾
lbfg 临风 林峰
lbfh 冷不防
lbfs 拎
lbfw 磷肥
lbg 麟 廪
lbgc 临高
lbgh 临港
lbgl 麟 磷光
lbgo 邻国
lbgx 廪
lbh 老本行
lbhd 临海 林海
lbhe 林壑
lbhh 老本行 临行
lbhj 罗宾汉
lbho 磷火
lbhx 磷化
lbi 辚
lbig 刘伯承
lbih 林场 临场
lbii 临池
lbij 临产 林产
lbil 临床 辚
lbir 临川
lbis 林冲
lbj 来不及
lbjb 临近 邻近
lbjh 拉帮结伙
lbji 来不及 临机 林奇
lbjk 老北京
lbjl 来不及了 临江
lbjm 零部件 临检 林间
lbjn 兰博基尼
lbjp 临界 拉帮结派 淋巴结 临街 邻接
lbjt 麟角
lbju 邻居 两败俱伤
lbjx 邻家 鳞甲 林家
lbk 啉
lbkc 临考
lbkd 离不开
lbke 临客
lbkf 礼不可废 林肯
lbkl 磷矿
lbkm 啉
lbkp 牢不可破
lbks 临空
lbkv 乐不可支
lbl 临
lblb 琳琳 淋淋 粼粼
lbld 来不来
lblg 冷不冷
lblh 琳琅 礼崩乐坏
lbli 林立 淋漓 邻里
lbll 临
lbln 来不了 临了
lblp 凛冽
lblu 礼拜六
lblw 累不累
lbly 利比里亚
lbm 粼 林 檩 粦 翷
lbmf 临门
lbmh 林莽
lbml 粦
lbmm 厉兵秣马 林
lbmo 临摹 淋膜
lbmu 林木
lbmv 粼
lbmx 檩 翷
lbn 老板娘
lbnc 莱布尼茨
lbnf 黎巴嫩
lbnj 力不能及 临难
lbnl 老板娘
lbno 琳娜
lbns 林农
lbnv 力不能支
lbo 瞵 膦
lbol 膦 瞵
lbp 鳞片
lbpf 临盆
lbpk 临平
lbpm 鳞片
lbpo 罗布泊
lbq 了不起
lbqa 萝卜青菜，各有所爱
lbqb 劣币驱逐良币
lbqc 萝卜青菜
lbqi 了不起 滤波器
lbqj 另辟蹊径
lbqk 临清
lbqr 临泉 林泉
lbqu 临去 临朐 林区
lbr 邻 赁
lbre 邻
lbri 礼拜日
lbrj 凛然
lbrr 赁
lbs 老不死
lbsd 老不死的
lbse 吝啬
lbsi 临死 礼拜四
lbsj 礼拜三
lbsr 磷酸
lbsu 乐不思蜀
lbt 礼拜天
lbtc 林涛
lbte 罗伯特
lbth 礼拜堂
lbtm 老半天 礼拜天
lbtn 檩条
lbtp 临帖
lbts 临潼 喇叭筒
lbtz 临头 淋透
lbu 磷
lbuf 临身
lbug 邻省
lbuh 力拔山河 连不上
lbui 临时 蓝宝石 来表示 淋湿
lbul 磷
lbur 力不胜任
lbut 狼奔豕突
lbuv 临睡 老蚌生珠 临水 邻水
lbuy 路不拾遗
lbv 留不住 箖
lbvc 临朝 林昭
lbve 拎着
lbvf 临阵
lbvi 林芝 磷脂
lbvj 临战
lbvl 鳞状
lbvm 箖
lbvo 临着 拎着
lbvs 临终 列表中 林中
lbvu 留不住
lbvx 鳞爪
lbvz 林州
lbw 琳 吝 璘
lbwf 刘伯温
lbwj 狼狈为奸
lbwk 吝
lbwl 璘
lbwm 琳
lbwu 两不误 礼拜五
lbwv 狼狈万状
lbww 临危
lbx 老百姓 懔
lbxg 两不相干
lbxi 吝惜 莱比锡 临西 林夕
lbxk 临行 老百姓 临幸
lbxm 邻县
lbxp 鳞屑
lbxr 礼不下庶人 遴选
lbxx 懔 临夏
lbxy 聊表谢意 嶙峋 鲁宾逊
lby 霖
lbya 利比亚
lbyb 林荫
lbye 林业 林叶
lbyg 聊备一格
lbyi 临沂 临邑 礼拜一
lbym 霖
lbyr 林园
lbyt 林岳
lbyu 淋浴 淋雨
lbz 躏 遴
lbzf 躏
lbzi 林子
lbzl 遴
lbzo 邻座
lbzs 林总
lbzu 珞巴族
lbzz 临走
lc 老 捞 劳 牢 佬 姥 酪 烙 涝 乐 潦 落 络 唠 崂 栳 铑 铹 痨 耢 醪 嫪 荖
lcb 牢 痨
lcba 老爸
lcbb 乐此不彼
lcbc 劳保 老鸨
lcbd 老白
lcbf 老本
lcbj 老板 老班 老版 老伴
lcbk 老兵
lcbl 痨
lcbn 牢
lcbo 老伯
lcbp 乐此不疲
lcbw 老辈
lcc 劳 落 荖
lccb 荖
lccc 老曹
lccd 老蔡
lcck 落
lccl 劳
lccs 绿葱葱
lccu 老粗
lccv 立此存照
lcd 涝 潦
lcda 老大
lcdc 唠叨 老到 老道 乐道 捞到
lcdd 老大
lcdi 老弟 老底 牢底
lcdl 涝
lcdm 老店
lcdp 老爹
lcdr 乐段
lcds 劳动
lcdu 老杜 牢度
lcdv 乐队
lcdw 乐得
lcdx 潦
lcdy 劳顿
lcdz 老豆
lce 崂
lcel 崂
lcer 老二 劳尔 乐儿
lcf 捞
lcfa 劳乏
lcfg 乐风
lcfh 牢房 劳方 老房
lcfj 劳烦
lcfl 捞
lcfu 老夫 乐府
lcfw 老肥
lcg 老公
lcgc 老高 乐高
lcgd 劳改
lcge 老歌 老哥 乐歌
lcgj 老干 乐感
lcgl 老光
lcgo 老郭 乐果
lcgr 乐观
lcgs 老公 劳工
lcgu 牢固 老姑
lcgv 老鬼
lcgz 乐购
lch 烙
lche 老何
lchj 老汉
lchk 烙
lchl 老黄
lcho 老火
lchu 老虎 老胡 乐和
lchw 老黑
lchx 老化 老花 老话
lci 老抽
lcic 老巢
lcid 老柴
lcif 老臣 老陈
lcig 老成 老城
lcih 乐昌
lcii 乐驰 乐池
lciu 捞出
lciz 老抽
lcj 铑 铹
lcjb 铑 老金
lcji 牢记 劳技 劳绩 老几
lcjl 铹 老蒋 老将
lcjm 老茧
lcjn 老窖 劳教
lcjp 老街 老姐
lcjq 老旧 老酒 老舅 老九
lcjx 老家 劳驾
lcjy 劳军 老君
lck 唠
lckc 牢靠
lckd 乐凯
lcke 唠嗑
lckl 唠
lckr 老款
lcku 劳苦
lcl 耢 老
lcla 劳拉 老辣
lclb 老 老林
lclc 姥姥 牢牢 乐乐
lcle 老了
lclh 老狼
lcli 劳力 老李 乐理
lclk 老龄 乐陵
lcll 耢
lclm 老练 老脸
lclo 老罗
lclq 老刘
lcls 牢笼
lclu 劳碌 老路 老六
lclv 老驴 乐律
lclw 劳累
lcly 量才录用
lcm 栳
lcma 老妈 老马
lcmb 栳
lcmc 老猫 老毛
lcmd 老迈
lcmf 牢门
lcmi 老米 乐迷
lcmm 捞面
lcmo 劳模
lcmu 老母 劳模
lcmw 老美 老妹 乐美
lcn 姥 嫪
lcna 老衲
lcnb 姥
lcnl 老娘
lcnm 老年 郎才女貌 老蔫
lcnn 老鸟
lcnp 嫪
lcnq 老牛
lcns 老农
lcp 老婆 乐
lcpd 老牌 乐
lcpi 老皮
lcpj 老潘
lcpk 乐平
lcpm 老片
lcpo 老婆
lcpu 乐谱
lcq 老区
lcqb 老亲
lcqi 老七 老气 乐器 捞起
lcqk 乐清
lcql 老枪
lcqm 捞钱
lcqu 老区 老去 乐趣 乐曲 捞取
lcr 佬
lcrb 佬
lcrf 老人
lcry 绿草如茵
lcs 络
lcsc 牢骚
lcsf 屡次三番
lcsi 老死 老四
lcsj 老三
lcsk 络
lcss 老宋
lcsy 劳损 老孙
lcsz 老叟
lct 老头
lctc 老套 唠叨
lctd 老太 老态
lctj 乐坛
lctk 乐亭
lctm 老天 乐天
lctp 烙铁 老帖
lctr 乐团
lctu 老土 乐土
lctz 老头 牢头 乐透
lcu 老实
lcuc 老少
lcue 老舍
lcuf 劳神
lcug 乐声
lcui 老师 劳师 老式 老是 老实 乐事 乐师
lcuj 崂山 乐山
lcuk 老帅
lcuo 老说
lcuu 老鼠 老树
lcuz 老手 乐手
lcv 老者
lcvb 鳞次栉比
lcvc 老赵
lcvd 老宅
lcve 老者
lcvf 落枕
lcvh 老张 乐章
lcvl 老庄
lcvq 零存整取
lcvs 牢中
lcvu 老猪 老朱
lcvx 老挝
lcvz 老周
lcw 另存为
lcwd 老外
lcwg 老翁
lcwh 老王 乐网
lcwk 落草为寇
lcwo 老挝 老窝
lcwu 劳务 老五 老吴 老屋 乐舞
lcww 另存为
lcx 老兄
lcxb 劳心
lcxl 老乡 老相 老想
lcxn 老小
lcxp 老谢
lcxq 老朽
lcxs 老兄
lcxu 老徐
lcxx 粮草先行
lcy 酪 醪
lcya 老鸭
lcyb 烙印
lcyc 老妖
lcye 老爷 乐业
lcyh 老杨
lcyi 劳逸 劳役 乐毅 乐意
lcyj 老眼
lcyk 老鹰 老营 酪
lcyp 醪
lcyr 老远 乐园
lcyt 老说 捞月
lcyu 牢狱 老妪 乐于
lcyz 老友 老幼
lcz 老早
lcza 流窜作案
lczc 老早
lczi 老子 劳资 乐子
lczo 劳作
lczs 老总
ld 来 莱 赖 崃 徕 涞 濑 赉 睐 铼 癞 籁 俫 梾
lda 来
ldaa 来啊
ldan 来
ldb 癞
ldba 来吧
ldbb 来宾
ldbd 雷打不动
ldbh 来帮
ldbi 漏洞百出
ldbj 六点半
ldbl 另当别论
ldbr 癞
ldbx 老大不小
ldc 莱
ldcg 领导层
ldci 来此
ldcl 莱
ldd 濑 涞
ldda 来打
lddc 来到
ldde 来得
lddg 落地灯
lddh 老搭档
lddi 来的
lddl 涞
lddm 来电 来点 乐颠颠
lddr 濑
lddw 来得
lde 崃
ldel 崃
lden 莱恩
ldf 老地方
ldfa 劳动法
ldfh 来访 老地方
ldfj 来犯
ldfu 来福
ldg 老大哥
ldgc 来稿
ldge 来个 老大哥
ldgh 莱钢
ldgi 掠地攻城
ldgo 来过
ldgv 来归
ldgy 驴打滚
ldh 来回
ldhj 来函
ldhu 濑户
ldhv 来回 李登辉
ldhx 来电话 来华 刘德华
ldhz 来后
ldi 徕
ldic 来潮
ldif 立地成佛
ldii 来吃 锂电池
ldil 徕 落地窗 赖床
ldit 老调重弹
ldj 来得及 铼
ldjb 来劲
ldji 来得及 来给
ldjj 雷电交加
ldjk 来劲 来京
ldjl 来讲 铼
ldjm 来件
ldjp 老大姐 劳动节 来接
ldjq 来救
ldju 劳动局
ldk 离得开
ldkd 离得开
ldke 来客
ldkj 来看
ldl 来了 赉
ldla 来啦
ldlb 来临
ldld 来来
ldle 来了
ldli 来历 劳动力 楼道里 领导力
ldln 来了 来料
ldlr 赉
ldlu 来路
ldlw 两大类
ldly 立德立言
ldm 梾
ldmd 来买
ldmj 莱曼
ldml 梾
ldmv 拉丁美洲
ldmy 灵丹妙药
ldn 老大难
ldna 来拿
ldni 来呢
ldnj 老大难
ldnl 老大娘
ldnm 来年
ldo 睐
ldol 睐
ldpc 榴弹炮
ldpi 赖皮
ldq 来去
ldqb 乱弹琴
ldqp 莱切 拉大旗作虎皮
ldqu 来去
ldqx 莱卡 徕卡
ldqz 留得青山在
ldr 领导人 俫
ldrf 来人 领导人
ldrg 礼多人不怪
ldri 来日
ldrk 来得容易去得快
ldrl 俫
ldry 锒铛入狱
ldsd 莱塞
ldsi 莱斯 赖斯
ldsq 零打碎敲
ldt 来头
ldtb 老大徒伤悲
ldte 莱特
ldtj 李代桃僵 来谈
ldtk 来听
ldtz 来头
ldu 赖
ldug 来生
lduh 绿豆汤
ldui 来世 落地式 来时 来势
lduo 来说
ldur 赖
ldv 籁
ldvc 来找 李大钊
ldve 来者 劳动者 领导者
ldvh 赖账
ldvi 来之
ldvo 赖着 来着
ldvr 籁
ldvw 来这
ldvx 来抓
ldw 来往
ldwf 来问 来文 拉丁文
ldwh 来往
ldwi 老大无成
ldwj 来玩 来晚
ldwq 力大无穷
ldwu 莱芜 拉丁舞
ldww 来为
ldx 流动性
ldxb 来信
ldxi 来袭 莱西
ldxk 流动性 垄断性
ldxl 来想
ldxm 浪得虚名
ldxp 来写
ldxx 领导下
ldy 老掉牙
ldya 老掉牙 来呀
ldyb 利大于弊 莱茵
ldye 老大爷
ldyi 赖以 来意
ldyp 乱点鸳鸯谱
ldyr 来源 老党员
ldys 来用
ldyt 来说
ldyu 落地有声 拉丁语 林黛玉
ldyv 老当益壮
ldyy 乱点鸳鸯
ldyz 来由 罗大佑
ldz 来自
ldzi 来自 拉肚子
ldzj 流动资金
ldzm 拉丁字母
ldzo 来做 来作
ldzr 连带责任
le 乐 勒 肋 了 仂 叻 嘞 泐 鳓 簕 饹
lea 鳓
leal 鳓
leb 来而不往非礼也
lebs 老而不死
lebu 两耳不闻窗外事
leby 来而不往非礼也 乐而不淫
lebz 老而不死是为贼
led 泐
lede 乐得
ledl 泐
leg 勒
legl 勒
legr 乐观
lek 嘞 叻
lekl 叻 嘞
lelk 勒令
leo 肋
leol 肋
lep 乐
lepd 乐
lequ 乐趣
ler 仂
lerl 仂
leso 勒索
letu 乐土
leu 饹
leui 乐事
leuj 乐山
leuk 饹
lev 簕 了
levl 了 簕
lew 乐而忘返
lewf 乐而忘返
lewg 劳而无功
ley 乐园
leyi 乐意
leyr 乐园
leyu 乐于
lezi 乐子
lf 浪费
lfbu 流芳百世
lfdm 理发店
lfer 拉斐尔
lffw 龙飞凤舞
lfgs 卢浮宫
lfhm 鸾凤和鸣
lfhu 绿肥红瘦
lfix 龙凤呈祥
lfkt 六方会谈
lflq 老夫老妻
lfm 两方面
lfmi 立方米
lfmm 两方面
lfqg 流芳千古
lfqr 立法权
lfrf 老妇人
lft 立方体
lfti 立方体
lfu 轮番上阵
lfui 理发师 类风湿 廊坊市
lfuq 老夫少妻
lfuv 轮番上阵
lfv 两分钟
lfve 来访者
lfvs 两分钟
lfyf 罗敷有夫
lfzi 老房子
lg 冷 棱 楞 塄 愣 堎 崚
lgao 冷傲
lgb 老干部
lgbk 冷冰
lgbq 连根拔起
lgbu 老干部
lgc 冷藏
lgcd 冷菜
lgch 冷藏
lgcj 冷餐
lgd 老古董 冷
lgdj 冷淡
lgdp 连滚带爬
lgdr 连锅端
lgds 冷冻 老古董 冷
lgdu 两个多小时
lgdv 两个多钟 冷对
lgdw 冷得
lgdx 理工大学
lgdy 两个多月
lge 崚
lgew 崚
lgf 冷风
lgfg 冷风 冷锋
lgfj 冷饭 劳改犯
lgfn 龙肝凤脑
lgfu 冷敷
lgg 老公公
lggs 冷宫 老公公
lggv 冷柜
lgh 泸沽湖
lghd 冷害
lghj 冷汗 冷焊
lghu 泸沽湖 论功行赏
lghy 冷荤
lgih 冷场
lgj 老规矩
lgji 冷寂
lgjj 路公交车
lgjk 冷静
lgjm 冷箭
lgjn 棱角
lgju 老规矩 冷柜
lgjy 立竿见影 冷峻
lgk 理工科
lgke 理工科 老顾客
lgku 冷酷 冷库
lgl 冷了
lgle 冷了
lglg 冷冷 愣愣
lgli 利滚利
lglm 冷脸 利国利民
lgln 愣了 冷了
lglo 冷落
lgm 楞 棱
lgma 老干妈
lgmb 老股民
lgmf 冷门 楞
lgmm 冷面
lgmo 冷漠
lgmw 棱 冷媒
lgn 冷暖
lgnf 李广难封
lgnk 冷凝
lgnr 冷暖
lgp 冷僻
lgpi 冷僻
lgpj 冷盘
lgq 冷清
lgqi 冷气
lgqj 六根清净
lgqk 冷清
lgql 冷枪
lgqn 卢沟桥 冷峭
lgqr 冷泉
lgqt 冷却
lgr 两个人
lgre 冷热
lgrf 两个人
lgs 冷死
lgse 冷色
lgsi 冷死
lgsk 卢甘斯克
lgso 冷缩
lgt 塄 堎
lgtf 塄
lgth 冷烫
lgtm 冷天
lgtw 堎
lgu 冷水
lgua 冷杉
lgud 冷色
lgui 愣是
lguj 立功受奖
lgul 冷霜
lguv 冷水
lguz 立功赎罪
lgv 两个钟
lgva 冷轧
lgvb 立国之本
lgvc 冷嘲
lgve 愣着
lgvg 愣怔
lgvj 冷战
lgvs 两个钟
lgvt 两个钟头
lgvu 愣住
lgvy 乐观主义
lgwl 里勾外连
lgwt 两个问题
lgx 愣
lgxf 愣
lgxk 劣根性
lgxn 冷笑
lgxq 两个星期
lgxt 冷血
lgxu 两个小时 论功行赏
lgxy 理工学院
lgy 两个月
lgyb 冷饮
lgyc 流光溢彩
lgyj 冷眼 冷艳
lgyt 两个月 冷月 六个月
lgyu 冷遇 冷雨
lgz 两个字
lgzh 冷藏
lgzi 两个字
lh 浪 琅 榔 狼 廊 郎 朗 莨 蒗 啷 阆 锒 稂 螂 埌 塱 崀 桹 烺 筤 蓢
lhb 厉害吧
lhba 厉害吧 拦河坝
lhbc 脸红脖子粗
lhbk 流行病
lhbw 狼狈
lhbx 流行病学
lhc 莨 蒗 蓢
lhcd 六合彩
lhcl 蒗 莨
lhco 蓢
lhd 郎 朗 浪 塱
lhdb 灵活多变
lhdd 绿化带
lhde 郎
lhdh 浪荡 郎当
lhdl 浪
lhdm 㮾
lhdo 朗
lhdt 塱
lhdu 朗读 利害得失
lhdy 梨花带雨
lhe 崀
lhei 脸红耳赤
lhel 崀
lher 脸红耳热
lhet 落荒而逃
lhf 浪费
lhfg 浪峰
lhfh 廊坊
lhfw 浪费
lhg 廊
lhge 廊 朗阁
lhgo 联合国 罗汉果
lhgz 狼狗
lhh 烺 稂
lhhc 狼嚎 狼嗥 狼毫
lhhd 狼孩
lhhe 乐呵呵
lhhl 稂 亮晃晃 烺
lhhs 乱哄哄
lhhx 浪花 连环画
lhi 螂
lhic 浪潮
lhie 螂
lhig 锒铛
lhil 狼疮
lhiq 炉火纯青 灵魂出窍
lhis 令狐冲
lhj 锒
lhjb 铝合金
lhjd 灵活机动
lhji 狼藉 老虎机 浪迹
lhjj 烈火见真金
lhjk 老花镜
lhjl 锒
lhjv 令行禁止
lhjy 郎君 厉行节约
lhk 啷
lhke 啷 朗科
lhkk 联欢会 联合会
lhks 陆海空
lhl 老黄历
lhlb 礼坏乐崩
lhlh 朗朗 琅琅 郎朗
lhli 老黄历 老皇历
lhll 来衡量
lhln 离婚了
lhlu 落花流水
lhly 两河流域
lhm 榔 阆 桹
lhma 癞蛤蟆
lhme 榔
lhmj 浪漫
lhml 阆 桹
lhmr 癞蛤蟆想吃天鹅肉
lhn 老黄牛
lhna 氯化钠
lhnq 老黄牛
lho 㫰
lhol 㫰
lhpd 老虎屁股摸不得
lhpy 烈火烹油
lhq 狼
lhqi 狼骑 离合器
lhql 狼
lhqm 老虎钳 零花钱
lhqr 狼犬
lhqu 罗湖区
lhqy 狼群
lhrf 浪人 狼人
lhs 朗诵
lhss 朗诵
lht 老糊涂 埌
lhtc 浪涛
lhti 老汉推车 联合体
lhtl 埌
lhtr 旅行团
lhtu 老糊涂
lhtz 榔头 浪头
lhu 两回事
lhue 旅行社
lhug 朗声
lhuh 老和尚
lhui 两回事
lhv 兰花指 筤
lhvc 朗照
lhve 旅行者
lhvf 联合政府
lhvh 李鸿章
lhvi 兰花指
lhvl 筤
lhvs 郎中
lhw 琅
lhwh 联欢晚会 狼王
lhwl 琅
lhwo 狼窝
lhwu 卤化物
lhx 灵活性
lhxd 两虎相斗
lhxg 利害相关
lhxk 灵活性 流行性 朗星
lhxt 脸红心跳
lhxv 两虎相争
lhxy 朗讯
lhy 老花眼
lhya 狼牙
lhyg 利害攸关
lhyi 朗逸
lhyj 狼烟 老花眼 廊檐
lhyq 落花有意流水无情
lhyr 阆苑
lhys 浪涌
lhyy 落花有意
lhz 浪子
lhzi 浪子
lhzu 拉祜族
li 里 厘 梨 犁 黎 篱 狸 离 漓 理 李 鲤 礼 莉 荔 吏 栗 丽 厉 励 砾 历 利 傈 例 俐 痢 立 粒 沥 隶 力 璃 哩 俪 俚 郦 坜 苈 莅 蓠 藜 呖 唳 喱 猁 悝 溧 澧 逦 娌 嫠 骊 缡 枥 栎 轹 戾 砺 砬 詈 罹 锂 鹂 疠 疬 蛎 蜊 蠡 笠 篥 粝 醴 跞 雳 鲡 鳢 黧 凓 叕 嚟 峛 朸 浬 浰 珕 醨
lia 丽 鲤 吏 鲡 鳢
liaa 鳢
liad 丽
liah 里昂
lial 鲤 鲡
lian 吏 李安 立案 离岸
liao 里奥 李敖
lib 痢 里程碑 疠 疬
liba 篱笆
libb 礼宾 李斌
libc 礼包
libd 礼拜 李白 立白 痢
libh 令出必行
libi 利弊 力避 礼毕
libk 李兵
libl 疬
libm 里边
libo 荔波
libp 离别
libu 里布 礼部
libw 疠 里程碑 立碑
libx 离愁别绪
liby 来处不易
libz 驴唇不对马嘴
lic 莉 荔 苈 莅 蓠 藜
